knljdkfl-1	UNASSIGNED
ajochjhn-1	abebcckh-1
ajnebidf-1	abebdnpj-1
ajiibpdp-1	abebjgha-1
ajjldflk-1	abedcljm-1
ajjldcfm-1	abebockb-1
ajjlajmg-1	abecbkki-1
ajjnpnpp-1	cinefckf-1
ajjglimn-1	cindmcmc-1
ajibmllj-1	abediebi-1
ajichpgp-1	abeejboe-1
ajimhdjk-1	cimopdpj-1
ajlnknki-1	ciojmkoj-1
ajloenpo-1	cinfegim-1
cjnpljmj-1	abefloag-1
ajcgjogl-1	clhpigdn-1
ajdhlghk-1	abefmpob-1
ajdaajhc-1	abefnefm-1
ajedohfp-1	abefoggi-1
ajecnlof-1	abegcnil-1
ajebjpmh-1	abegjjoh-1
ajlcbhmb-1	cinhifjj-1
ajjaongf-1	abehljfo-1
ajifglch-1	abehpoam-1
ajihnajm-1	abeihpmn-1
ajblamjd-1	cipdefoo-1
ajopdadl-1	cjcjojim-1
ajofmidl-1	cjbplpng-1
ajokgjbj-1	cjcbamlp-1
ajkfobng-1	cjbbcbic-1
ajnnafjm-1	abelgmbg-1
ajnldgjm-1	abelipim-1
ajkhpfah-1	abelkkhh-1
ajmakjpo-1	cipnldeb-1
ajlokcnj-1	ciofdimc-1
ajmecpja-1	cinnfkdo-1
ajmalaoc-1	cjaedfna-1
cjambmmf-1	clcjcpmp-1
cjalppdo-1	clchnock-1
cjahnebm-1	clcioajk-1
cinkeafh-1	acoklega-1
ciigikhm-1	abenkfil-1
cilgbbgi-1	abeoaipd-1
cindpnpk-1	clegcnbg-1
cincfiio-1	abeofnnh-1
cikebgcp-1	abeognmb-1
cijldmbe-1	abeohmoi-1
cindnimk-1	abeopgmo-1
cincjpnp-1	abeopidg-1
cjoiakag-1	clccokmn-1
cjomgdem-1	odjaekpj-1
cjkigcda-1	abfbhkce-1
cjkpedjc-1	clecfeij-1
cjmighie-1	abfchmba-1
cjoihdda-1	abfcmeii-1
cinoepde-1	cleeakjb-1
cinpkmej-1	clggdaei-1
cinpkgbo-1	odimcjai-1
cimnkjkl-1	clcjgpjh-1
cimkjeie-1	clcdcial-1
ciogpkmm-1	abfeidfa-1
cinbohad-1	clceiiag-1
cindgdpc-1	abffgooo-1
cinoolmj-1	abfflgff-1
cinchlfg-1	abffmchb-1
ajjnmmoi-1	clioojai-1
ajjldhio-1	abfhmbnn-1
ajjlbpjp-1	abfgfgmi-1
ajgfenbj-1	abfgkkip-1
ajgjpjbf-1	abfhfbij-1
ajgfedkl-1	abfhjgmn-1
ajhmoobl-1	abfhjhll-1
ajgmpcjl-1	abfhklne-1
ajeijihb-1	clipmnjk-1
ajjclcjk-1	abfhnkmc-1
ajjmdaen-1	clipijaf-1
cjoimlkh-1	abfhoppb-1
cjomijeo-1	cmafdikp-1
cjoieiio-1	clgkbkmd-1
cjohkglh-1	cmajooip-1
cjjdkbpk-1	abfikpaf-1
cjjgjnoo-1	abfiodjl-1
cjjidddo-1	abfipcnf-1
cjinepkc-1	abfjdfdk-1
cjekhepb-1	abfjekmb-1
cjjidpaf-1	abfjfjgl-1
cjlfmgep-1	abfjfjpe-1
cjnccahf-1	clpdeege-1
cjejocjk-1	abfjhndf-1
cjoilpee-1	cmbaonoe-1
cjejclcl-1	abfkddbn-1
cjoopejg-1	cmaomiaa-1
ajbgfmfe-1	abfkkcpc-1
ckaflpbo-1	abfkmacf-1
ajalpdim-1	abfkpdka-1
ajccgich-1	cmachlfn-1
ajhfjbag-1	cljnbaka-1
cjpgphkn-1	clggiggp-1
